indic_na,unit,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
B1GM,MIO_PPS,NL	439848.0 	433854.6 	454274.2 	478803.8 b	505891.3 	540607.0 	550848.3 	512018.1 	526702.8 	541854.3 	545229.4 	547736.5 
B1GM,MIO_PPS,NO	143418.0 	147334.6 	163965.9 	184024.8 b	203996.2 	213064.5 	228290.6 	199916.9 	215225.4 	230667.6 	249235.2 	249938.6 
B1GM,MIO_PPS,PL	376977.0 	386155.9 	417621.1 	439672.9 b	467299.3 	517599.7 	536240.9 	541951.2 	593408.6 	630353.0 	659676.7 	673473.1 
B1GM,MIO_PPS,PT	169285.8 	171347.8 	175300.4 	188404.1 b	197591.2 	208030.8 	206764.4 	200014.2 	208530.0 	205090.9 	204946.5 	203416.7 
B1GM,MIO_PPS,RO	130861.9 	140713.2 	159822.2 	169706.8 b	195436.7 	222989.4 	251577.6 	237706.2 	250899.9 	259603.6 	271953.2 	278261.4 
B1GM,MIO_PPS,RS	: 	: 	: 	52964.5 	56890.8 	60477.5 	66151.5 	61346.7 	61667.2 	64734.7 	65073.1 	66519.8 
B1GM,MIO_PPS,SE	222832.9 	229857.5 	245711.5 	246791.9 b	263528.2 	285225.8 	285066.6 	261813.6 	282908.7 	296875.9 	306392.4 	313606.9 
B1GM,MIO_PPS,SI	33615.2 	34545.8 	37392.1 	39248.9 b	41524.7 	44565.8 	45825.6 	41307.0 	42181.0 	43477.5 	43985.5 	43788.4 
B1GM,MIO_PPS,SK	59471.0 	61706.5 	66312.7 	72822.4 b	80551.1 	91289.1 	97944.3 	92326.5 	98484.3 	102055.7 	104926.1 	106178.1 
B1GM,MIO_PPS,TR	487862.6 	495859.1 	578730.7 	652927.0 b	727605.8 	790989.0 	833531.4 	784890.3 	890696.9 	989344.4 	1030728.7 	1070311.7 
B1GM,MIO_PPS,UK	1469401.8 	1511154.2 	1612331.1 	1677283.3 b	1750561.0 	1793711.0 	1753340.1 	1624027.9 	1638814.7 	1656680.2 	1696717.9 	1742349.0 
B1GM,MIO_PPS,US	9361195.9 	9703435.2 	10324933.1 	10943060.3 	11252426.2 	11747008.0 	11487867.1 	10795429.9 	11408836.2 	11668997.8 	12379902.0 	12592445.2 
B1GM,PPS_HAB,AT	26000 	26400 	27600 	28100 b	29700 	30900 	31100 	29500 	30900 	32300 	33100 	33200 
B1GM,PPS_HAB,BE	25600 	25600 	26200 	26900 b	27800 	28900 	28900 	27600 	29400 	30200 	30700 	30500 
B1GM,PPS_HAB,BG	6500 	6900 	7500 	8200 b	9000 	10000 	10900 	10300 	10800 	11700 	12100 	12000 
B1GM,PPS_HAB,CH	29300 	28900 	29900 	30600 b	32900 	35900 	37100 	35200 	37200 	38800 	40300 	40600 
B1GM,PPS_HAB,CY	18100 	18300 	19600 	20800 b	22000 	23500 	24800 	23400 	23600 	23500 	23400 	22100 
B1GM,PPS_HAB,CZ	15000 	15800 	16900 	17800 b	18900 	20600 	20200 b	19400 	19700 	20300 	20700 	20600 
B1GM,PPS_HAB,DE	23400 	23900 	25000 	26000 b	27300 	28800 	29000 	26900 	29200 	30800 	31500 	32000 
B1GM,PPS_HAB,DK	26200 	25700 	27100 	27700 b	29300 	30600 	31100 	28900 	31200 	31500 	32100 	32100 
B1GM,PPS_HAB,EA	23000 	23100 	23900 	24800 b	26000 	27400 	27400 	25500 	26600 	27300 	27700 	27700 
B1GM,PPS_HAB,EA17	22700 	22800 	23600 	24500 b	25700 	27200 	27200 	25500 	26600 	27300 	27700 	27700 
B1GM,PPS_HAB,EA18	22600 	22700 	23500 	24400 b	25700 	27100 	27100 	25400 	26500 	27300 	27600 	27700 
B1GM,PPS_HAB,EE	10200 	11300 	12400 	13800 b	15600 	17500 	17200 	14900 	15800 	17300 	18300 	18800 
B1GM,PPS_HAB,EL	18400 	19200 	20300 	20400 b	21800 	22600 	23200 	22300 	21600 	20300 	19500 	: 
B1GM,PPS_HAB,ES	20600 	20900 	21900 	22900 b	24800 	26200 	25900 	24200 	24200 	24300 	24400 	24500 
B1GM,PPS_HAB,EU27	20500 	20700 	21700 	22500 b	23700 	25000 	25100 	23600 	24500 	25200 	25600 	25800 
B1GM,PPS_HAB,EU28	20400 	20600 	21600 	22400 b	23600 	25000 	25000 	23500 	24400 	25100 	25500 	25700 
B1GM,PPS_HAB,FI	23500 	23300 	25100 	25700 b	26900 	29300 	29700 	26900 	27900 	29100 	29400 	28700 
B1GM,PPS_HAB,FR	23600 	23000 	23700 	24700 b	25500 	26900 	26700 	25500 	26600 	27400 	27700 	27800 
B1GM,PPS_HAB,HR	11100 	11700 	12500 	13200 b	14100 	15600 	16200 	14900 	14700 	15200 	15600 	15600 
B1GM,PPS_HAB,HU	12500 	12900 	13600 	14200 b	14900 	15300 	15900 	15300 	16100 	16900 	17000 	17200 
B1GM,PPS_HAB,IE	28200 	29300 	30800 	32400 b	34400 	36500 	32900 	30100 	31400 	32300 	32900 	32500 
B1GM,PPS_HAB,IS	26500 	26000 	28400 	29200 b	29100 	30100 	30800 	28200 	27900 	28700 	29400 	30000 
B1GM,PPS_HAB,IT	23000 	23000 	23100 	23600 b	24700 	26000 	26000 	24300 	25100 	25500 	25600 	25200 
B1GM,PPS_HAB,JP	23200 	23600 	24700 	25400 	25800 	27100 	26200 	24000 	25700 	25800 	: 	: 
B1GM,PPS_HAB,LT	9100 	10300 	11100 	12300 b	13600 	15500 	16100 	13600 	15100 	16900 	18300 	19100 
B1GM,PPS_HAB,LU	49000 	51100 	54500 	57000 b	63800 	68400 	65800 	59200 	64000 	66700 	67100 	67900 
B1GM,PPS_HAB,LV	8400 b	9100 b	10100 b	11100 b	12500 b	14300 b	14600 b	12700 b	13500 b	15000 b	16400 b	17300 b
B1GM,PPS_HAB,MK	5200 	5400 	5900 	6600 b	7100 	7700 	8400 	8500 	8900 	9000 	: 	: 
B1GM,PPS_HAB,MT	16800 	17000 	17200 	18000 b	18600 	19600 	20300 	19800 	21300 	21600 	22100 	22700 
B1GM,PPS_HAB,NL	27200 	26700 	27900 	29300 b	31000 	33000 	33500 	31000 	31700 	32500 	32500 	32600 
B1GM,PPS_HAB,NO	31600 	32300 	35700 	39800 b	43800 	45300 	47900 	41400 	44000 	46600 	49700 	49200 
B1GM,PPS_HAB,PL	9900 	10100 	10900 	11500 b	12300 	13600 	14100 	14200 	15400 	16400 	17100 	17500 
B1GM,PPS_HAB,PT	16300 	16400 	16700 	17900 b	18700 	19600 	19500 	18800 	19600 	19300 	19400 	19400 
B1GM,PPS_HAB,RO	6000 	6500 	7500 	8000 b	9200 	10700 	12200 	11700 	12400 	12900 	13600 	13900 
B1GM,PPS_HAB,RS	: 	: 	: 	7100 	7700 	8200 	9000 	8400 	8500 	8900 	9000 	: 
B1GM,PPS_HAB,SE	25000 	25700 	27300 	27300 b	29000 	31200 	30900 	28200 	30200 	31400 	32200 	32700 
B1GM,PPS_HAB,SI	16800 	17300 	18700 	19600 b	20700 	22100 	22700 b	20200 	20600 	21200 	21400 	21300 
B1GM,PPS_HAB,SK	11100 	11500 	12300 	13500 b	14900 	16900 	18100 	17000 	18100 	18900 	19400 	19600 
B1GM,PPS_HAB,TR	7400 	7400 	8500 	9500 b	10500 	11300 	11700 	10900 	12200 	13400 	: 	: 
B1GM,PPS_HAB,UK	24800 	25400 	26900 	27800 b	28900 	29400 	28600 	26300 	26300 	26400 	26600 	27200 
B1GM,PPS_HAB,US	32500 	33400 	35200 	37000 	37700 	38900 	37700 	35100 	36800 	37400 	39400 	39800 
